Year,Album,Artist,Nominated,Winner,Genre,CSPC,Album Global Sales,Other Grammys Won (TF),Compare,Spotify Streams
2000,The Slim Shady LP,Eminem,FALSE,FALSE,Rap,193980000,10390000,TRUE,TRUE,986296893
2000,Supernatural,Santana,TRUE,TRUE,Rock,144830000,30000000,TRUE,TRUE,559331115
2000,FanMail,TLC,TRUE,FALSE,Other,40976000,10000000,TRUE,FALSE,1210222581
2000,Fly,Dixie Chicks,TRUE,FALSE,Country,19450000,11659000,TRUE,FALSE,234000000
2000,Millennium,Backstreet Boys,TRUE,FALSE,Pop,97287000,24000000,TRUE,FALSE,1208164891
2000,When I Look in Your Eyes,Diana Krall,TRUE,FALSE,Jazz,16345000,1470000,TRUE,FALSE,
2001,The Marshall Mathers LP,Eminem,TRUE,FALSE,Rap,193980000,23340000,TRUE,TRUE,2195874378
2001,Two Against Nature,Steely Dan,TRUE,TRUE,Rock,41493000,1100000,TRUE,TRUE,
2001,Kid A,Radiohead,TRUE,FALSE,Rock,13670000,3450000,TRUE,FALSE,
2001,Midnite Vultures,Beck,TRUE,FALSE,Country,10036000,800000,TRUE,FALSE,
2001,You're the One,Paul Simon,TRUE,FALSE,Rock,52105000,560000,TRUE,FALSE,
2003,The Eminem Show,Eminem,TRUE,FALSE,Rap,193980000,23020000,TRUE,TRUE,3523206999
2003,Come Away with Me,Norah Jones,TRUE,TRUE,Country,51922000,27100000,TRUE,TRUE,1034610563
2003,Home,Dixie Chicks,TRUE,FALSE,Country,19450000,6030000,TRUE,FALSE,370000000
2003,Nellyvile,Nelly,TRUE,FALSE,Rap,24952000,9400000,TRUE,FALSE,
2003,The Rising,Bruce Springsteen,TRUE,FALSE,Rock,159773000,2900000,TRUE,FALSE,
2006,Encore,Eminem,FALSE,FALSE,Rap,193980000,11030000,TRUE,TRUE,1451720415
2006,How to Dismantle an Atomic Bomb,U2,TRUE,TRUE,Rock,198371000,9000000,TRUE,TRUE,207094000
2006,Chaos and Creation in the Backyard,Paul McCartney,TRUE,FALSE,Rock,111315000,1500000,TRUE,FALSE,
2006,The Emancipation of Mimi,Mariah Carey,TRUE,FALSE,Pop,172569000,10000000,TRUE,FALSE,571778493
2006,Late Registration,Kanye West,TRUE,FALSE,Rap,43385000,3100000,TRUE,FALSE,
2006,Love. Angle. Music. Baby.,Gwen Stefani,TRUE,FALSE,Other,20235000,7000000,TRUE,FALSE,
2011,Recovery,Eminem,TRUE,FALSE,Rap,193980000,8340000,TRUE,TRUE,2927860553
2011,The Suburbs,Arcade Fire,TRUE,TRUE,Other,2341000,1020000,TRUE,TRUE,117565913
2011,The Fame Monster,Lady Gaga,TRUE,FALSE,Pop,71625000,5600000,TRUE,FALSE,3310379948
2011,Need you now,Lady Antebellum,TRUE,FALSE,Country,12570000,7570000,TRUE,FALSE,
2011,Teenage Dream,Katy Perry,TRUE,FALSE,Pop,52941000,6300000,TRUE,FALSE,3530835849
2015,The Marshall Mathers LP 2,Eminem,FALSE,FALSE,Rap,193980000,4770000,TRUE,TRUE,2800000000
2015,Morning Phase,Beck,TRUE,TRUE,Jazz,10036000,600000,TRUE,TRUE,314341049
2015,Beyoncé,Beyoncé,TRUE,FALSE,Pop,84533000,5000000,TRUE,FALSE,2534351224
2015,Girl,Pharrell Williams,TRUE,FALSE,Pop,4440000,1200000,TRUE,FALSE,1374472056
2015,In the Lonely Hour,Sam Smith,TRUE,FALSE,Pop,29456000,12000000,TRUE,FALSE,5164462107
2015,x,Ed Sheeran,TRUE,FALSE,Pop,77110000,9090000,TRUE,FALSE,8447228988